customer_id,customer_name,monthly_income,monthly_expenses,savings_balance,investment_balance,total_debt,payment_history_score,credit_utilization_ratio,credit_age_months,credit_score,risk_score,financial_health_score,loan_approved
SYN0022,Synthetic Customer 22,22798,11023,53917,23702,29504,0.99,0.57,96,566,6,70,1
SYN0023,Synthetic Customer 23,60996,45274,57503,14124,167675,0.79,0.41,58,566,6,60,0
SYN0024,Synthetic Customer 24,65889,27725,159549,32591,204389,0.92,0.54,41,601,5,70,1
SYN0025,Synthetic Customer 25,296200,291331,17758,7260,2378982,0.84,0.85,6,470,6,5,0
SYN0026,Synthetic Customer 26,191711,105596,898815,444960,639341,0.92,0.41,85,607,5,75,1
SYN0027,Synthetic Customer 27,56282,43378,50448,12793,135513,0.77,0.78,41,522,6,60,1
SYN0028,Synthetic Customer 28,491382,539813,57393,7133,2216874,0.89,0.58,34,476,6,0,0
SYN0029,Synthetic Customer 29,132209,41930,436691,139231,239332,0.92,0.95,34,559,6,75,1
SYN0030,Synthetic Customer 30,34490,23401,62612,3928,111979,0.94,0.57,49,563,6,60,0
SYN0031,Synthetic Customer 31,17686,9298,45997,8544,22190,0.92,0.71,66,519,6,70,1
SYN0032,Synthetic Customer 32,71876,60322,27837,12318,502749,0.78,0.02,19,583,5,45,0
SYN0033,Synthetic Customer 33,18276,7712,31280,15290,11632,0.93,0.08,67,627,5,70,1
SYN0034,Synthetic Customer 34,57353,48596,28690,10021,468975,0.8,0.8,16,503,6,45,0
SYN0035,Synthetic Customer 35,195385,76163,701080,70407,660430,0.93,0.88,119,573,6,75,1
SYN0036,Synthetic Customer 36,20093,9678,53278,6671,34605,0.97,0.85,100,525,6,70,1
SYN0037,Synthetic Customer 37,331659,388571,67348,27759,1340908,0.85,0.05,21,514,6,15,0
SYN0038,Synthetic Customer 38,71753,56967,63920,23123,286338,0.81,0.02,16,592,5,60,0
SYN0039,Synthetic Customer 39,16180,10523,42036,4176,5750,0.9,0.37,41,583,3,85,1
SYN0040,Synthetic Customer 40,47535,47754,19021,9173,308866,0.77,0.41,19,511,6,25,0
SYN0041,Synthetic Customer 41,45514,34562,107284,27020,242078,0.71,0.73,33,529,6,70,1
SYN0042,Synthetic Customer 42,47485,26010,88431,2537,179357,0.91,0.23,41,622,5,60,1
SYN0043,Synthetic Customer 43,49831,43197,19734,4564,334497,0.76,0.96,8,482,6,35,0
SYN0044,Synthetic Customer 44,86768,79818,51079,904,639812,0.53,0.96,5,471,6,10,0
SYN0045,Synthetic Customer 45,23698,9751,62367,25769,19661,0.93,0.6,101,585,5,75,1
SYN0046,Synthetic Customer 46,150976,86033,284481,114309,24124,0.9,0.92,92,637,2,95,1
SYN0047,Synthetic Customer 47,53869,33904,124328,40839,307849,0.78,0.84,58,546,6,70,1
SYN0048,Synthetic Customer 48,25134,15082,49836,18166,42056,0.91,0.42,84,572,6,70,1
SYN0049,Synthetic Customer 49,70338,47177,93615,19914,379924,0.77,0.43,49,578,6,60,1
SYN0050,Synthetic Customer 50,431623,445714,22137,2780,2534185,0.8,0.29,21,517,6,0,0
SYN0051,Synthetic Customer 51,111569,55989,224109,3201,79980,0.9,0.97,102,591,5,50,1
SYN0052,Synthetic Customer 52,169384,71875,587280,201315,118563,0.95,0.25,107,665,5,75,1
SYN0053,Synthetic Customer 53,77941,41583,154933,67889,225623,0.95,0.56,39,592,5,70,1
SYN0054,Synthetic Customer 54,269908,307809,43244,19511,2251541,0.7,0.75,28,450,6,15,0
SYN0055,Synthetic Customer 55,38569,25748,85784,29223,83943,0.99,0.74,96,552,6,70,1
SYN0056,Synthetic Customer 56,335891,378056,67704,31758,1656310,0.79,0.28,4,498,6,15,0
SYN0057,Synthetic Customer 57,50735,44723,9732,1133,375070,0.55,0.39,4,536,6,25,0
SYN0058,Synthetic Customer 58,34209,21362,40899,2040,139481,0.75,0.42,49,588,5,50,0
SYN0059,Synthetic Customer 59,27464,14915,95096,25558,19682,0.99,0.94,89,572,6,75,1
SYN0060,Synthetic Customer 60,39494,24501,123208,31996,85099,0.92,0.44,39,587,5,70,1
SYN0061,Synthetic Customer 61,376228,414099,72068,30630,2662215,0.88,0.97,34,437,6,15,0
SYN0062,Synthetic Customer 62,153290,73206,549820,224716,46325,0.91,0.46,30,678,2,90,1
SYN0063,Synthetic Customer 63,69689,62595,19012,6211,447403,0.58,0.94,13,478,6,35,0
SYN0064,Synthetic Customer 64,30735,28924,13812,2866,155212,0.57,0.08,20,556,6,25,0
SYN0065,Synthetic Customer 65,58134,34001,111483,9986,4265,0.92,0.47,38,683,1,95,1
SYN0066,Synthetic Customer 66,22142,11945,40187,19853,19603,0.96,0.74,50,546,6,70,1
SYN0067,Synthetic Customer 67,50384,26825,32559,11097,177505,0.93,0.38,57,612,5,60,0
SYN0068,Synthetic Customer 68,113661,37572,452476,157394,347922,0.98,0.79,96,580,5,75,1
SYN0069,Synthetic Customer 69,141017,64842,505049,169749,35006,0.93,0.84,86,650,2,100,1
SYN0070,Synthetic Customer 70,163645,96261,570811,80211,488209,0.94,0.73,107,570,6,70,1
SYN0071,Synthetic Customer 71,90539,93471,25253,9707,793440,0.58,0.84,2,460,6,25,0
SYN0072,Synthetic Customer 72,79087,69055,22051,6209,611310,0.6,0.49,10,528,6,35,0
SYN0073,Synthetic Customer 73,61952,34918,126140,57692,224589,0.85,0.87,47,555,6,70,0
SYN0074,Synthetic Customer 74,21260,9050,62253,24843,24929,0.92,0.48,98,568,6,75,1
SYN0075,Synthetic Customer 75,209040,193971,11117,2508,1446677,0.8,0.37,35,531,6,10,0
SYN0076,Synthetic Customer 76,26264,13858,78535,29736,20850,0.93,0.26,51,626,5,70,1
SYN0077,Synthetic Customer 77,50679,27157,79290,12133,260686,0.75,0.73,29,573,6,60,1
SYN0078,Synthetic Customer 78,100886,39231,252131,92801,109780,0.95,0.28,30,626,5,75,1
SYN0079,Synthetic Customer 79,24572,14969,36933,16085,51215,0.91,0.02,72,606,5,60,1
SYN0080,Synthetic Customer 80,450984,465478,19954,7827,1734758,0.63,0.07,31,540,6,0,0
SYN0081,Synthetic Customer 81,64053,22131,263905,22329,218859,1.0,0.13,77,645,5,75,1
SYN0082,Synthetic Customer 82,34533,22005,60144,14762,43310,0.99,0.3,111,603,5,60,1
SYN0083,Synthetic Customer 83,360107,385526,5205,406,2955946,0.88,0.21,13,517,6,0,0
SYN0084,Synthetic Customer 84,30641,25956,3195,5,158117,0.62,0.69,15,514,6,20,0
SYN0085,Synthetic Customer 85,24278,21108,10298,3719,198456,0.52,0.24,8,525,6,45,0
SYN0086,Synthetic Customer 86,36665,23508,61405,7366,10099,0.96,0.9,54,610,2,85,1
SYN0087,Synthetic Customer 87,65633,22956,151441,74607,176962,0.99,0.44,83,614,5,75,1
SYN0088,Synthetic Customer 88,72757,78781,21847,1317,521683,0.68,0.88,23,448,6,0,0
SYN0089,Synthetic Customer 89,99129,86748,5431,2356,933514,0.68,0.03,24,575,6,25,0
SYN0090,Synthetic Customer 90,95529,77576,43347,21348,674282,0.63,0.28,18,562,6,45,0
SYN0091,Synthetic Customer 91,457805,545115,51641,10520,2545428,0.8,0.85,21,430,6,5,0
SYN0092,Synthetic Customer 92,459768,453545,104296,36051,3450612,0.61,0.1,16,545,6,15,0
SYN0093,Synthetic Customer 93,35194,38398,8534,9,255862,0.7,0.54,13,480,6,0,0
SYN0094,Synthetic Customer 94,99173,45176,341302,115878,177973,0.98,0.21,94,638,5,75,1
SYN0095,Synthetic Customer 95,48876,30862,90755,41289,138667,0.85,0.24,22,603,5,60,1
SYN0096,Synthetic Customer 96,15448,8738,21993,1858,36788,0.95,0.13,55,557,6,60,1
SYN0097,Synthetic Customer 97,353019,371609,23165,7736,2685300,0.67,0.55,24,487,6,5,0
SYN0098,Synthetic Customer 98,69280,45203,151223,36208,381767,0.89,0.85,33,539,6,70,1
SYN0099,Synthetic Customer 99,124144,64283,523256,172999,259178,0.95,0.16,92,640,5,75,1
SYN0100,Synthetic Customer 100,380944,380841,69746,21088,2061138,0.86,0.97,15,456,6,15,0
SYN0101,Synthetic Customer 101,27549,12949,84335,30996,2885,0.97,0.81,85,655,2,100,1
SYN0102,Synthetic Customer 102,62461,49309,51670,10878,366975,0.92,0.87,40,510,6,60,0
SYN0103,Synthetic Customer 103,29972,12126,46335,5058,62648,0.91,0.78,69,579,6,70,1
SYN0104,Synthetic Customer 104,72098,71733,36846,17485,641040,0.61,0.32,22,522,6,25,0
SYN0105,Synthetic Customer 105,483648,440491,7941,3772,3206379,0.69,0.23,5,546,6,10,0
SYN0106,Synthetic Customer 106,251612,283846,42505,5451,1027189,0.81,0.9,2,436,6,5,0
SYN0107,Synthetic Customer 107,27355,24291,6152,2175,150417,0.62,0.68,5,492,6,35,0
SYN0108,Synthetic Customer 108,41473,21719,89893,15783,192059,0.82,0.58,26,591,5,70,1
SYN0109,Synthetic Customer 109,80236,70334,452,73,695023,0.7,0.16,14,561,6,20,0
SYN0110,Synthetic Customer 110,97014,86317,55998,14969,787123,0.75,0.21,12,553,6,45,0
SYN0111,Synthetic Customer 111,255917,248536,35127,9674,1627401,0.61,0.82,25,477,6,5,0
SYN0112,Synthetic Customer 112,21061,20424,8666,401,176373,0.77,0.74,9,439,6,0,0
SYN0113,Synthetic Customer 113,69784,51680,69379,16425,215247,0.87,0.72,54,536,6,60,0
SYN0114,Synthetic Customer 114,60334,23691,168148,17224,125884,0.91,0.3,119,631,5,75,1
SYN0115,Synthetic Customer 115,292085,280471,55134,11988,2280310,0.76,0.91,10,469,6,5,0
SYN0116,Synthetic Customer 116,83156,90657,14725,6588,746566,0.53,0.95,4,438,6,15,0
SYN0117,Synthetic Customer 117,74323,53309,175691,73048,437180,0.79,0.78,12,531,6,70,1
SYN0118,Synthetic Customer 118,19049,10218,53618,19154,30737,0.94,0.64,83,532,6,70,1
SYN0119,Synthetic Customer 119,111295,49130,381782,85984,377892,0.99,0.23,32,631,5,75,1
SYN0120,Synthetic Customer 120,358434,392403,10036,304,1368380,0.69,0.49,6,483,6,0,0
SYN0121,Synthetic Customer 121,65228,35268,92399,45644,313991,0.94,0.42,59,606,5,60,0
SYN0122,Synthetic Customer 122,251915,289729,37222,9166,2042389,0.61,0.37,28,486,6,5,0
SYN0123,Synthetic Customer 123,323791,374508,7720,2230,2231329,0.87,0.64,3,456,6,0,0
SYN0124,Synthetic Customer 124,344641,329801,10104,3725,2643589,0.63,0.22,1,537,6,0,0
SYN0125,Synthetic Customer 125,137427,51269,227211,8992,279317,0.98,0.55,99,605,5,60,1
SYN0126,Synthetic Customer 126,45269,27096,39184,92,255403,0.77,0.97,20,536,6,35,1
SYN0127,Synthetic Customer 127,37204,25980,24048,3898,91279,0.85,0.03,28,611,5,50,0
SYN0128,Synthetic Customer 128,78609,49231,63246,14689,206648,0.89,0.51,18,577,6,60,1
SYN0129,Synthetic Customer 129,22259,15216,29027,14204,41841,0.97,0.31,118,555,6,60,1
SYN0130,Synthetic Customer 130,65945,39539,280284,28301,101198,0.95,0.9,33,544,6,75,1
SYN0131,Synthetic Customer 131,134439,64865,193115,82978,133102,0.96,0.71,72,587,5,60,1
SYN0132,Synthetic Customer 132,32385,15819,78155,7498,33436,0.99,0.65,106,595,5,70,1
SYN0133,Synthetic Customer 133,58185,36974,58841,14860,210638,0.8,0.73,32,554,6,60,1
SYN0134,Synthetic Customer 134,53408,48723,4891,274,492973,0.53,0.09,13,560,6,10,0
SYN0135,Synthetic Customer 135,147687,80272,473031,147216,311807,0.96,0.67,76,582,5,70,1
SYN0136,Synthetic Customer 136,75435,79993,32635,9837,712733,0.59,0.11,16,529,6,25,0
SYN0137,Synthetic Customer 137,40140,27978,40286,18227,111973,0.79,0.76,48,540,6,60,0
SYN0138,Synthetic Customer 138,494107,589155,97053,42119,3234005,0.77,0.61,17,453,6,15,0
SYN0139,Synthetic Customer 139,97294,37164,383793,92018,322776,0.9,0.86,96,573,6,75,1
SYN0140,Synthetic Customer 140,236482,222899,35936,17382,886134,0.66,0.42,21,522,6,25,0
SYN0141,Synthetic Customer 141,54251,32197,64227,19537,314062,0.72,0.06,22,628,5,60,0
SYN0142,Synthetic Customer 142,121330,52527,330800,108575,265163,0.93,0.75,38,580,5,75,1
SYN0143,Synthetic Customer 143,76349,63619,31068,8633,583844,0.7,0.05,12,580,5,45,0
SYN0144,Synthetic Customer 144,16795,6756,32303,2248,8514,0.98,0.29,51,610,5,70,1
SYN0145,Synthetic Customer 145,180386,94541,330557,60322,246902,0.95,0.83,69,569,6,70,1
SYN0146,Synthetic Customer 146,154089,86063,208372,10205,10396,0.99,0.57,97,684,1,75,1
SYN0147,Synthetic Customer 147,418991,413483,40729,5631,3451546,0.84,0.62,23,494,6,0,0
SYN0148,Synthetic Customer 148,164481,91014,341452,137353,348689,0.91,0.86,119,565,6,70,1
SYN0149,Synthetic Customer 149,49041,44133,4947,467,355562,0.66,0.2,24,553,6,20,0
SYN0150,Synthetic Customer 150,66019,67221,32439,3871,575169,0.53,0.26,5,521,6,15,0
SYN0151,Synthetic Customer 151,20009,12566,55489,25324,8506,0.96,0.46,108,596,4,75,1
SYN0152,Synthetic Customer 152,29709,17954,98542,40928,45846,0.93,0.96,76,539,6,70,1
SYN0153,Synthetic Customer 153,58820,30614,82111,18001,205290,0.85,0.35,16,613,5,60,1
SYN0154,Synthetic Customer 154,436933,398169,38667,2958,2175039,0.78,0.51,29,520,6,10,0
SYN0155,Synthetic Customer 155,33163,22758,98607,37464,3265,0.97,0.33,96,679,1,95,1
SYN0156,Synthetic Customer 156,19943,13707,45495,11253,38815,1.0,0.09,118,565,6,70,1
SYN0157,Synthetic Customer 157,32565,18702,45199,17129,129671,0.85,0.37,30,602,5,60,1
SYN0158,Synthetic Customer 158,377401,416525,4743,1370,2501510,0.62,0.1,24,522,6,0,0
SYN0159,Synthetic Customer 159,53029,53936,20890,2463,485238,0.6,0.58,4,490,6,5,0
SYN0160,Synthetic Customer 160,60662,66140,25422,9749,405306,0.71,0.09,17,525,6,25,0
SYN0161,Synthetic Customer 161,372216,425798,59862,24208,2821026,0.9,0.9,5,433,6,15,0
SYN0162,Synthetic Customer 162,466594,470582,40604,7018,2083464,0.7,0.76,12,474,6,0,0
SYN0163,Synthetic Customer 163,39015,21321,44181,16635,204330,0.89,0.83,45,563,6,60,0
SYN0164,Synthetic Customer 164,37176,36401,3440,1418,210715,0.73,0.8,5,476,6,5,0
SYN0165,Synthetic Customer 165,222907,228091,36183,14555,1056611,0.78,0.75,28,474,6,15,0
SYN0166,Synthetic Customer 166,64996,37161,151965,25430,339521,0.79,0.94,40,546,6,70,1
SYN0167,Synthetic Customer 167,70052,66610,17596,3271,390741,0.74,0.15,8,546,6,5,0
SYN0168,Synthetic Customer 168,175983,98943,562502,270485,64994,0.99,0.29,44,677,3,75,1
SYN0169,Synthetic Customer 169,78893,84541,6974,909,544351,0.75,0.88,0,449,6,0,0
SYN0170,Synthetic Customer 170,227921,232236,20456,1337,1242989,0.71,0.04,6,544,6,0,0
SYN0171,Synthetic Customer 171,39142,32929,6737,2851,343778,0.75,0.75,15,509,6,35,0
SYN0172,Synthetic Customer 172,202753,237577,924,76,939789,0.76,0.72,33,447,6,0,0
SYN0173,Synthetic Customer 173,258293,292607,14731,1953,1080923,0.73,0.79,29,448,6,0,0
SYN0174,Synthetic Customer 174,79060,43562,237131,82831,152569,0.95,0.25,42,620,5,70,1
SYN0175,Synthetic Customer 175,76261,61044,16143,1534,574945,0.7,0.09,11,583,5,25,0
SYN0176,Synthetic Customer 176,187903,87041,757452,10661,343381,0.94,0.47,105,613,5,65,1
SYN0177,Synthetic Customer 177,395717,386257,1542,353,2922328,0.67,0.65,6,491,6,0,0
SYN0178,Synthetic Customer 178,39090,24509,59423,11093,33051,0.98,0.18,95,631,5,60,1
SYN0179,Synthetic Customer 179,295566,337964,4476,1874,2165231,0.61,0.21,12,502,6,0,0
SYN0180,Synthetic Customer 180,132731,76985,405543,142352,472634,0.95,0.05,106,639,5,70,1
SYN0181,Synthetic Customer 181,48750,29595,97768,21753,268947,0.77,0.79,39,554,6,70,1
SYN0182,Synthetic Customer 182,402713,403402,18056,6018,2787550,0.88,0.52,5,499,6,0,0
SYN0183,Synthetic Customer 183,241380,248423,57647,9626,1078049,0.7,0.09,18,538,6,5,0
SYN0184,Synthetic Customer 184,78447,76939,20056,5759,636273,0.63,0.72,11,484,6,15,0
SYN0185,Synthetic Customer 185,29252,14110,103905,4917,66547,0.97,0.41,101,615,5,75,1
SYN0186,Synthetic Customer 186,32040,17392,54263,1140,167015,0.73,0.24,53,623,5,50,1
SYN0187,Synthetic Customer 187,70181,76135,1363,460,388557,0.78,0.37,24,499,6,0,0
SYN0188,Synthetic Customer 188,86095,39503,226681,32717,201326,1.0,0.04,47,651,5,70,1
SYN0189,Synthetic Customer 189,471447,479035,63551,8529,2289595,0.81,0.22,18,527,6,0,0
SYN0190,Synthetic Customer 190,304951,285675,62416,29447,1759507,0.81,0.99,20,466,6,25,0
SYN0191,Synthetic Customer 191,28511,27513,4967,645,177902,0.71,0.92,20,460,6,5,0
SYN0192,Synthetic Customer 192,53690,35039,43942,4550,167702,0.76,0.49,35,574,6,50,1
SYN0193,Synthetic Customer 193,489221,459344,103822,26093,1915589,0.9,0.71,33,495,6,25,0
SYN0194,Synthetic Customer 194,414661,475616,7339,2631,3428177,0.62,0.47,33,477,6,0,0
SYN0195,Synthetic Customer 195,36821,39155,17238,2981,289818,0.73,0.14,16,526,6,15,0
SYN0196,Synthetic Customer 196,82548,37594,189435,92973,48132,0.92,0.94,90,607,5,70,1
SYN0197,Synthetic Customer 197,30336,26549,11559,1025,225822,0.69,0.61,2,515,6,25,0
SYN0198,Synthetic Customer 198,36003,16222,124565,43170,13323,0.96,0.89,79,632,4,80,1
SYN0199,Synthetic Customer 199,16349,10587,20732,9449,1783,0.93,0.22,109,630,2,85,1
SYN0200,Synthetic Customer 200,215878,226544,32493,15673,1077322,0.69,0.25,25,518,6,15,0
SYN0201,Synthetic Customer 201,79446,65296,2855,991,548980,0.64,0.34,4,553,6,20,0
SYN0202,Synthetic Customer 202,61853,63106,31944,2142,586477,0.73,0.51,3,496,6,5,0
SYN0203,Synthetic Customer 203,51685,48580,8294,793,309593,0.52,0.94,19,470,6,10,0
SYN0204,Synthetic Customer 204,330165,392502,71498,20494,2477787,0.66,0.17,32,499,6,15,0
SYN0205,Synthetic Customer 205,461493,537049,55087,12885,1860848,0.75,0.96,13,423,6,5,0
SYN0206,Synthetic Customer 206,26563,11012,49812,21438,38092,0.97,0.29,37,608,5,70,1
SYN0207,Synthetic Customer 207,162965,55437,350717,105710,214592,0.94,0.4,96,619,5,75,1
SYN0208,Synthetic Customer 208,21378,10876,40460,14757,19822,0.98,0.28,115,595,5,70,1
SYN0209,Synthetic Customer 209,18893,8286,27055,5555,16922,0.96,0.37,54,574,6,70,1
SYN0210,Synthetic Customer 210,69483,45354,104234,8980,178091,0.88,0.8,45,544,6,60,1
SYN0211,Synthetic Customer 211,69731,53549,59383,10437,401157,0.74,0.98,59,504,6,60,1
SYN0212,Synthetic Customer 212,26022,14369,63059,18445,30592,0.93,0.81,83,547,6,70,1
SYN0213,Synthetic Customer 213,34366,37595,12035,5941,296386,0.76,0.63,19,471,6,25,0
SYN0214,Synthetic Customer 214,339214,403705,63737,18927,2484938,0.67,0.06,30,509,6,15,0
SYN0215,Synthetic Customer 215,64356,44322,110404,9684,349337,0.91,0.25,48,593,5,60,0
SYN0216,Synthetic Customer 216,31241,19754,42294,6681,121423,0.8,0.77,42,551,6,60,0
SYN0217,Synthetic Customer 217,63992,35976,75836,34437,306138,0.79,0.95,41,547,6,60,1
SYN0218,Synthetic Customer 218,26609,16038,87340,17325,43473,0.96,0.2,67,600,5,70,1
SYN0219,Synthetic Customer 219,93149,82860,52619,25269,886298,0.59,0.21,22,554,6,45,0
SYN0220,Synthetic Customer 220,366220,382312,49262,23647,2961082,0.68,0.13,34,532,6,15,0
SYN0221,Synthetic Customer 221,406848,466049,93211,19035,3035963,0.61,0.95,5,427,6,5,0
SYN0222,Synthetic Customer 222,77983,77732,34967,8884,454417,0.78,0.69,4,483,6,25,0
SYN0223,Synthetic Customer 223,112726,42017,407098,167233,215503,0.92,0.11,66,646,5,75,1
SYN0224,Synthetic Customer 224,252714,279086,8337,1293,2079757,0.72,0.93,30,440,6,0,0
SYN0225,Synthetic Customer 225,304572,343183,20996,969,1513720,0.87,0.1,36,519,6,0,0
SYN0226,Synthetic Customer 226,65071,46955,138640,22946,164907,0.8,0.83,14,525,6,60,1
SYN0227,Synthetic Customer 227,297680,351554,68737,2455,2394832,0.6,0.57,6,458,6,0,0
SYN0228,Synthetic Customer 228,57298,53648,22047,2198,419233,0.76,0.47,6,517,6,15,0
SYN0229,Synthetic Customer 229,136686,47669,389841,48810,126592,0.9,0.34,61,630,5,75,1
SYN0230,Synthetic Customer 230,37098,23267,60142,29394,76227,0.94,0.43,77,589,5,60,1
SYN0231,Synthetic Customer 231,155076,77658,289249,84830,78499,0.99,0.02,73,705,4,70,1
SYN0232,Synthetic Customer 232,59277,43042,137360,1498,206699,0.77,0.36,27,572,6,50,0
SYN0233,Synthetic Customer 233,172000,67431,457433,184433,311160,0.98,0.69,105,591,5,75,1
SYN0234,Synthetic Customer 234,68174,67109,8963,1254,370943,0.64,0.98,11,457,6,0,0
SYN0235,Synthetic Customer 235,487957,572782,88693,14313,3635072,0.83,0.68,5,449,6,5,0
SYN0236,Synthetic Customer 236,29639,16551,61301,3676,65246,0.91,0.55,100,591,5,70,1
SYN0237,Synthetic Customer 237,67532,44638,60519,14478,369815,0.73,0.21,49,602,5,60,1
SYN0238,Synthetic Customer 238,183791,79700,257360,54450,87300,0.95,0.07,83,704,4,70,1
SYN0239,Synthetic Customer 239,22853,20996,11195,4737,191504,0.52,0.43,22,490,6,35,0
SYN0240,Synthetic Customer 240,191862,114778,875753,247501,47671,0.9,0.41,41,669,2,100,1
SYN0241,Synthetic Customer 241,396325,474740,36380,12369,3081100,0.71,0.68,34,446,6,5,0
SYN0242,Synthetic Customer 242,72830,55211,59250,12879,435104,0.83,0.72,26,530,6,60,0
SYN0243,Synthetic Customer 243,128214,56273,485769,99425,195764,0.98,0.25,68,632,5,75,1
SYN0244,Synthetic Customer 244,48064,26749,104557,2111,247806,0.9,0.42,13,599,5,50,0
SYN0245,Synthetic Customer 245,34409,18246,22724,797,156630,0.76,0.05,40,643,5,40,0
SYN0246,Synthetic Customer 246,22119,13853,67740,18957,7439,0.92,0.91,109,571,4,85,1
SYN0247,Synthetic Customer 247,95690,93716,38612,9888,606597,0.76,0.98,16,458,6,25,0
SYN0248,Synthetic Customer 248,57103,33699,40527,5738,332035,0.86,0.43,43,594,5,60,0
SYN0249,Synthetic Customer 249,69958,72458,13378,1222,475599,0.59,0.19,17,526,6,0,0
SYN0250,Synthetic Customer 250,326336,376853,23553,7586,2283166,0.87,0.56,26,466,6,5,0
SYN0251,Synthetic Customer 251,32366,14248,57704,21191,15794,0.91,0.45,83,664,5,70,1
SYN0252,Synthetic Customer 252,190413,98515,359068,176599,184026,0.96,0.05,33,649,5,70,1
SYN0253,Synthetic Customer 253,79918,54046,144540,27379,254239,0.92,0.34,12,583,5,60,0
SYN0254,Synthetic Customer 254,78593,42062,188562,31797,324126,0.87,0.7,37,577,6,70,0
SYN0255,Synthetic Customer 255,25538,16156,53976,11772,32708,0.93,0.36,99,575,6,70,1
SYN0256,Synthetic Customer 256,251699,287149,43639,10493,1826282,0.87,0.37,26,488,6,5,0
SYN0257,Synthetic Customer 257,197462,110425,763883,290094,11530,0.99,0.58,77,682,1,100,1
SYN0258,Synthetic Customer 258,39976,34333,5517,1006,301218,0.65,0.65,21,516,6,25,0
SYN0259,Synthetic Customer 259,53728,55286,15751,6058,444495,0.65,0.17,11,529,6,25,0
SYN0260,Synthetic Customer 260,39172,28050,57934,17764,223313,0.95,0.95,45,517,6,60,0
SYN0261,Synthetic Customer 261,62717,33196,168370,30334,190230,0.91,0.16,51,634,5,70,1
SYN0262,Synthetic Customer 262,29942,15329,80328,31667,47913,0.97,0.03,104,654,5,70,1
SYN0263,Synthetic Customer 263,28478,11492,70357,18788,18777,0.9,0.81,91,604,5,75,1
SYN0264,Synthetic Customer 264,37013,28700,57144,20308,120939,0.83,0.81,29,517,6,60,1
SYN0265,Synthetic Customer 265,147793,86871,421563,182776,129399,0.92,0.68,34,581,5,70,1
SYN0266,Synthetic Customer 266,74510,31412,190582,83459,127681,0.9,0.18,87,641,5,75,1
SYN0267,Synthetic Customer 267,373681,399747,76944,34613,1516299,0.88,0.24,36,516,6,15,0
SYN0268,Synthetic Customer 268,342131,312696,6104,2224,2751693,0.77,0.04,20,566,6,10,0
SYN0269,Synthetic Customer 269,104305,49660,407636,104410,267621,0.99,0.3,96,629,5,75,1
SYN0270,Synthetic Customer 270,67138,50380,87311,21740,377818,0.8,0.73,56,533,6,60,0
SYN0271,Synthetic Customer 271,39427,27295,52393,2490,41359,0.93,0.76,112,546,6,50,1
SYN0272,Synthetic Customer 272,371115,337301,24344,8038,3104158,0.67,0.55,24,516,6,15,0
SYN0273,Synthetic Customer 273,297380,328280,47152,20270,1192889,0.69,0.25,4,505,6,15,0
SYN0274,Synthetic Customer 274,120247,41637,452373,193896,274408,0.94,0.36,35,618,5,75,1
SYN0275,Synthetic Customer 275,130810,56695,515502,22884,48142,0.92,0.45,95,677,3,80,1
